strain,load
8.879,77.3
8.883,77.3
8.883,77.4
8.887,77.5
8.887,77.5
8.891,77.5
8.891,77.6
8.896,77.7
8.896,77.7
8.896,77.7
8.9,77.8
8.9,77.8
8.904,77.9
8.904,78
8.908,78
8.908,78.1
8.912,78.2
8.912,78.2
8.916,78.2
8.916,78.3
8.916,78.3
8.92,78.4
8.92,78.4
8.924,78.4
8.924,78.5
8.928,78.5
8.928,78.7
8.932,78.7
8.932,78.7
8.936,78.8
8.936,78.7
8.936,78.8
8.941,78.9
8.941,78.9
8.945,78.9
8.945,78.9
8.949,78.9
8.949,78.8
8.953,78.8
8.953,78.9
8.957,78.9
8.957,79
8.961,78.9
8.961,78.9
8.965,79
8.965,78.9
8.969,78.9
8.969,78.9
8.973,78.9
8.973,79
8.977,78.9
8.977,78.9
8.981,78.8
8.981,78.8
8.986,78.8
8.986,78.8
8.99,78.8
8.99,78.9
8.994,78.8
8.998,78.8
8.998,78.8
8.998,78.8
9.002,78.7
9.006,78.6
9.006,78.6
9.006,78.6
9.01,78.7
9.014,78.6
9.014,78.6
9.018,78.6
9.018,78.6
9.022,78.5
9.022,78.5
9.027,78.5
9.027,78.5
9.031,78.5
9.031,78.4
9.035,78.3
9.035,78.3
9.039,78.2
9.039,78.2
9.043,78.1
9.043,78.1
9.047,78
9.047,77.9
9.051,77.9
9.051,77.8
9.055,77.8
9.055,77.9
9.059,77.8
9.059,77.9
9.063,77.9
9.063,77.8
9.063,77.8
9.067,77.8
9.067,77.8
9.072,77.8
9.072,77.7
9.076,77.8
9.076,77.7
9.08,77.7
9.08,77.7
9.084,77.6
9.084,77.5
9.088,77.4
9.088,77.4
9.092,77.3
9.092,77.3
9.092,77.2
9.096,77.2
9.096,77.2
9.1,77.2
9.1,77.2
9.104,77.2
9.104,77.1
9.108,77.1
9.108,77.1
9.108,77
9.112,76.9
9.112,76.9
9.117,76.7
9.121,76.6
9.125,76.3
9.129,76.2
9.129,75.9
9.129,75.6
9.133,75.5
9.133,75.4
9.137,75.2
9.137,75.1
9.141,75
9.141,74.8
9.145,74.7
9.145,74.5
9.149,74.3
9.149,74.3
9.153,74.1
9.153,74.1
9.153,73.9
9.157,73.9
9.162,73.7
9.162,73.7
9.162,73.7
9.166,73.4
9.166,73.4
9.17,73.4
9.17,73.2
9.174,73.1
9.174,73.1
9.178,72.9
9.178,72.9
9.182,72.7
9.182,72.7
9.182,72.5
9.186,72.4
9.186,72.2
9.19,72.2
9.19,72.2
9.194,72
9.194,71.9
9.198,71.9
9.198,71.8
9.198,71.6
9.202,71.5
9.207,71.4
9.207,71.2
9.207,71.2
9.211,71.1
9.211,70.9
9.215,70.7
9.215,70.7
9.215,70.6
9.219,70.5
9.223,70.4
9.223,70.3
9.223,70.2
9.227,70
9.227,69.9
9.231,69.7
9.231,69.6
9.235,69.3
9.235,69.1
9.239,69
9.239,68.8
9.239,68.7
9.243,68.5
9.243,68.5
9.247,68.2
9.247,67.9
9.252,67.8
9.252,67.5
9.252,67.4
9.256,67.2
9.256,67.1
9.26,66.8
9.26,66.7
9.264,66.5
9.264,66.2
9.264,66.2
9.268,66
9.268,66
9.268,65.9
9.272,65.7
9.272,65.5
9.272,65.5
9.276,65.2
9.276,65
9.28,64.8
9.28,64.7
9.28,64.5
9.284,64.2
9.284,64.2
9.284,63.9
9.288,63.7
